PID    COMM              FD ERR FLAGS    PATH
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/nfnetlink_cthelper.h
8808   malicious-prog     4   0 00001101 ./output/13-nfnetlink_cthelper.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_comment.h
8808   malicious-prog     4   0 00001101 ./output/14-xt_comment.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/posix_acl.h
8808   malicious-prog     4   0 00001101 ./output/15-posix_acl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/falloc.h
8808   malicious-prog     4   0 00001101 ./output/16-falloc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/ipmi_bmc.h
8808   malicious-prog     4   0 00001101 ./output/17-ipmi_bmc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/xattr.h
8808   malicious-prog     4   0 00001101 ./output/18-xattr.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/fd.h
8808   malicious-prog     4   0 00001101 ./output/19-fd.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_comment.h
8808   malicious-prog     4   0 00001101 ./output/20-xt_comment.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/socket.h
8808   malicious-prog     4   0 00001101 ./output/21-socket.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/prctl.h
8808   malicious-prog     4   0 00001101 ./output/22-prctl.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/atmapi.h
8808   malicious-prog     4   0 00001101 ./output/23-atmapi.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/uvcvideo.h
8808   malicious-prog     4   0 00001101 ./output/24-uvcvideo.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter_ipv6/ip6t_LOG.h
8808   malicious-prog     4   0 00001101 ./output/25-ip6t_LOG.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/x25.h
8808   malicious-prog     4   0 00001101 ./output/26-x25.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/ipx.h
8808   malicious-prog     4   0 00001101 ./output/27-ipx.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_mac.h
8808   malicious-prog     4   0 00001101 ./output/28-xt_mac.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/dvb/audio.h
8808   malicious-prog     4   0 00001101 ./output/29-audio.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/can/j1939.h
8808   malicious-prog     4   0 00001101 ./output/30-j1939.h
967    VBoxService        4   0 02000000 /var/run/utmp
647    dbus-daemon       -1   2 02204000 /usr/local/share/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /usr/share/dbus-1/system-services
647    dbus-daemon       -1   2 02204000 /lib/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /var/lib/snapd/dbus-1/system-services/
8808   malicious-prog     3   0 00000000 /usr/include/linux/errno.h
8808   malicious-prog     4   0 00001101 ./output/31-errno.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/parport.h
8808   malicious-prog     4   0 00001101 ./output/32-parport.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_tunnel.h
8808   malicious-prog     4   0 00001101 ./output/33-if_tunnel.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/mei.h
8808   malicious-prog     4   0 00001101 ./output/34-mei.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/nf_conntrack_common.h
8808   malicious-prog     4   0 00001101 ./output/35-nf_conntrack_common.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_SYNPROXY.h
8808   malicious-prog     4   0 00001101 ./output/36-xt_SYNPROXY.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/phantom.h
8808   malicious-prog     4   0 00001101 ./output/37-phantom.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/seg6.h
8808   malicious-prog     4   0 00001101 ./output/38-seg6.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/sched/types.h
8808   malicious-prog     4   0 00001101 ./output/39-types.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/usb/ch9.h
8808   malicious-prog     4   0 00001101 ./output/40-ch9.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/xfrm.h
8808   malicious-prog     4   0 00001101 ./output/41-xfrm.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/types.h
8808   malicious-prog     4   0 00001101 ./output/42-types.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_AUDIT.h
8808   malicious-prog     4   0 00001101 ./output/43-xt_AUDIT.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_state.h
8808   malicious-prog     4   0 00001101 ./output/44-xt_state.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/screen_info.h
8808   malicious-prog     4   0 00001101 ./output/45-screen_info.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/io_uring.h
8808   malicious-prog     4   0 00001101 ./output/46-io_uring.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/kcmp.h
8808   malicious-prog     4   0 00001101 ./output/47-kcmp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/seg6_local.h
8808   malicious-prog     4   0 00001101 ./output/48-seg6_local.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/dlmconstants.h
8808   malicious-prog     4   0 00001101 ./output/49-dlmconstants.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/tc_act/tc_connmark.h
8808   malicious-prog     4   0 00001101 ./output/50-tc_connmark.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/seg6_local.h
8808   malicious-prog     4   0 00001101 ./output/51-seg6_local.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/types.h
8808   malicious-prog     4   0 00001101 ./output/52-types.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_fc.h
8808   malicious-prog     4   0 00001101 ./output/53-if_fc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/usb/audio.h
8808   malicious-prog     4   0 00001101 ./output/54-audio.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/scif_ioctl.h
8808   malicious-prog     4   0 00001101 ./output/55-scif_ioctl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter_bridge/ebt_among.h
8808   malicious-prog     4   0 00001101 ./output/56-ebt_among.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/bpqether.h
8808   malicious-prog     4   0 00001101 ./output/57-bpqether.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/tc_act/tc_ife.h
8808   malicious-prog     4   0 00001101 ./output/58-tc_ife.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_mark.h
8808   malicious-prog     4   0 00001101 ./output/59-xt_mark.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/dcbnl.h
8808   malicious-prog     4   0 00001101 ./output/60-dcbnl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter_bridge/ebt_ip6.h
8808   malicious-prog     4   0 00001101 ./output/61-ebt_ip6.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/nf_nat.h
8808   malicious-prog     4   0 00001101 ./output/62-nf_nat.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/elf-fdpic.h
8808   malicious-prog     4   0 00001101 ./output/63-elf-fdpic.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/cuda.h
8808   malicious-prog     4   0 00001101 ./output/64-cuda.h
654    irqbalance         6   0 00000000 /proc/interrupts
654    irqbalance         6   0 00000000 /proc/stat
654    irqbalance         6   0 00000000 /proc/irq/20/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/0/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/1/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/8/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/12/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/14/smp_affinity
654    irqbalance         6   0 00000000 /proc/irq/15/smp_affinity
8808   malicious-prog     3   0 00000000 /usr/include/linux/netrom.h
8808   malicious-prog     4   0 00001101 ./output/65-netrom.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/ivtv.h
8808   malicious-prog     4   0 00001101 ./output/66-ivtv.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/tc_act/tc_defact.h
8808   malicious-prog     4   0 00001101 ./output/67-tc_defact.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter_bridge/ebt_vlan.h
8808   malicious-prog     4   0 00001101 ./output/68-ebt_vlan.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_u32.h
8808   malicious-prog     4   0 00001101 ./output/69-xt_u32.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/affs_hardblocks.h
8808   malicious-prog     4   0 00001101 ./output/70-affs_hardblocks.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/input.h
8808   malicious-prog     4   0 00001101 ./output/71-input.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/fou.h
8808   malicious-prog     4   0 00001101 ./output/72-fou.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/cciss_ioctl.h
8808   malicious-prog     4   0 00001101 ./output/73-cciss_ioctl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/falloc.h
8808   malicious-prog     4   0 00001101 ./output/74-falloc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_tunnel.h
8808   malicious-prog     4   0 00001101 ./output/75-if_tunnel.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_bpf.h
8808   malicious-prog     4   0 00001101 ./output/76-xt_bpf.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/ipv6.h
8808   malicious-prog     4   0 00001101 ./output/77-ipv6.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_slip.h
8808   malicious-prog     4   0 00001101 ./output/78-if_slip.h
967    VBoxService        4   0 02000000 /var/run/utmp
647    dbus-daemon       -1   2 02204000 /usr/local/share/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /usr/share/dbus-1/system-services
647    dbus-daemon       -1   2 02204000 /lib/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /var/lib/snapd/dbus-1/system-services/
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_rateest.h
8808   malicious-prog     4   0 00001101 ./output/79-xt_rateest.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_recent.h
8808   malicious-prog     4   0 00001101 ./output/80-xt_recent.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_limit.h
8808   malicious-prog     4   0 00001101 ./output/81-xt_limit.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/nfsd/debug.h
8808   malicious-prog     4   0 00001101 ./output/82-debug.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter_ipv4/ipt_REJECT.h
8808   malicious-prog     4   0 00001101 ./output/83-ipt_REJECT.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/bpfilter.h
8808   malicious-prog     4   0 00001101 ./output/84-bpfilter.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/sockios.h
8808   malicious-prog     4   0 00001101 ./output/85-sockios.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/kcov.h
8808   malicious-prog     4   0 00001101 ./output/86-kcov.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/types.h
8808   malicious-prog     4   0 00001101 ./output/87-types.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/cn_proc.h
8808   malicious-prog     4   0 00001101 ./output/88-cn_proc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/aspeed-p2a-ctrl.h
8808   malicious-prog     4   0 00001101 ./output/89-aspeed-p2a-ctrl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/nilfs2_api.h
8808   malicious-prog     4   0 00001101 ./output/90-nilfs2_api.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/hash_info.h
8808   malicious-prog     4   0 00001101 ./output/91-hash_info.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/reiserfs_fs.h
8808   malicious-prog     4   0 00001101 ./output/92-reiserfs_fs.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/virtio_console.h
8808   malicious-prog     4   0 00001101 ./output/93-virtio_console.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/am437x-vpfe.h
8808   malicious-prog     4   0 00001101 ./output/94-am437x-vpfe.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_slip.h
8808   malicious-prog     4   0 00001101 ./output/95-if_slip.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/ivtvfb.h
8808   malicious-prog     4   0 00001101 ./output/96-ivtvfb.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/kernel-page-flags.h
8808   malicious-prog     4   0 00001101 ./output/97-kernel-page-flags.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/lightnvm.h
8808   malicious-prog     4   0 00001101 ./output/98-lightnvm.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/in.h
8808   malicious-prog     4   0 00001101 ./output/99-in.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/can/gw.h
8808   malicious-prog     4   0 00001101 ./output/100-gw.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/tc_act/tc_connmark.h
8808   malicious-prog     4   0 00001101 ./output/101-tc_connmark.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/bfs_fs.h
8808   malicious-prog     4   0 00001101 ./output/102-bfs_fs.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/udp.h
8808   malicious-prog     4   0 00001101 ./output/103-udp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_xdp.h
8808   malicious-prog     4   0 00001101 ./output/104-if_xdp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/nsfs.h
8808   malicious-prog     4   0 00001101 ./output/105-nsfs.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_sctp.h
8808   malicious-prog     4   0 00001101 ./output/106-xt_sctp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/major.h
8808   malicious-prog     4   0 00001101 ./output/107-major.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netrom.h
8808   malicious-prog     4   0 00001101 ./output/108-netrom.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/smc.h
8808   malicious-prog     4   0 00001101 ./output/109-smc.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/virtio_scsi.h
8808   malicious-prog     4   0 00001101 ./output/110-virtio_scsi.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_connlimit.h
8808   malicious-prog     4   0 00001101 ./output/111-xt_connlimit.h
1609   Xorg              47   0 00000000 /proc/1707/cmdline
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter_ipv6/ip6t_frag.h
8808   malicious-prog     4   0 00001101 ./output/112-ip6t_frag.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_TEE.h
8808   malicious-prog     4   0 00001101 ./output/113-xt_TEE.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/virtio_fs.h
8808   malicious-prog     4   0 00001101 ./output/114-virtio_fs.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/v4l2-mediabus.h
8808   malicious-prog     4   0 00001101 ./output/115-v4l2-mediabus.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/rpmsg.h
8808   malicious-prog     4   0 00001101 ./output/116-rpmsg.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/param.h
8808   malicious-prog     4   0 00001101 ./output/117-param.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/if_xdp.h
8808   malicious-prog     4   0 00001101 ./output/118-if_xdp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/soundcard.h
8808   malicious-prog     4   0 00001101 ./output/119-soundcard.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/matroxfb.h
8808   malicious-prog     4   0 00001101 ./output/120-matroxfb.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/nfsd/export.h
8808   malicious-prog     4   0 00001101 ./output/121-export.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/wimax/i2400m.h
8808   malicious-prog     4   0 00001101 ./output/122-i2400m.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/ipset/ip_set_hash.h
8808   malicious-prog     4   0 00001101 ./output/123-ip_set_hash.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/time_types.h
8808   malicious-prog     4   0 00001101 ./output/124-time_types.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/erspan.h
8808   malicious-prog     4   0 00001101 ./output/125-erspan.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/auto_dev-ioctl.h
8808   malicious-prog     4   0 00001101 ./output/126-auto_dev-ioctl.h
967    VBoxService        4   0 02000000 /var/run/utmp
647    dbus-daemon       -1   2 02204000 /usr/local/share/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /usr/share/dbus-1/system-services
647    dbus-daemon       -1   2 02204000 /lib/dbus-1/system-services
647    dbus-daemon       25   0 02204000 /var/lib/snapd/dbus-1/system-services/
8808   malicious-prog     3   0 00000000 /usr/include/linux/scif_ioctl.h
8808   malicious-prog     4   0 00001101 ./output/127-scif_ioctl.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/l2tp.h
8808   malicious-prog     4   0 00001101 ./output/128-l2tp.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/unix_diag.h
8808   malicious-prog     4   0 00001101 ./output/129-unix_diag.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/ipset/ip_set_hash.h
8808   malicious-prog     4   0 00001101 ./output/130-ip_set_hash.h
8808   malicious-prog     3   0 00000000 /usr/include/linux/usb/functionfs.h
8808   malicious-prog     4   0 00001101 ./output/131-functionfs.h
1707   VBoxClient         8   0 00000000 /run/user/1000/gdm/Xauthority
1609   Xorg              47   0 00000000 /proc/1707/cmdline
8808   malicious-prog     3   0 00000000 /usr/include/linux/netfilter/xt_connbytes.h
8808   malicious-prog     4   0 00001101 ./output/132-xt_connbytes.h
259    systemd-journal   51   0 02000000 /proc/8798/comm
259    systemd-journal   51   0 02000000 /proc/8798/cmdline
259    systemd-journal   51   0 02000000 /proc/8798/status
259    systemd-journal   51   0 02000000 /proc/8798/attr/current
259    systemd-journal   51   0 02000000 /proc/8798/sessionid
259    systemd-journal   51   0 02000000 /proc/8798/loginuid
259    systemd-journal   51   0 02000000 /proc/8798/cgroup
259    systemd-journal   -1   2 02000000 /run/systemd/units/log-extra-fields:user@1000.service
1516   systemd           22   0 02000000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service/cgroup.procs
1516   systemd           22   0 02204000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service
1516   systemd           22   0 02000000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service/cgroup.events
1516   systemd           22   0 02000000 /proc/8798/comm
1516   systemd           22   0 02000000 /proc/8798/comm
1516   systemd           22   0 02000000 /proc/8798/cgroup
259    systemd-journal   -1   2 02004002 /run/log/journal/874d2610fd9644bebcb89be5fad1d275/system.journal
1516   systemd           -1   2 02000000 /sys/fs/cgroup/memory/user.slice/user-1000.slice/user@1000.service/tracker-store.service/memory.events
1516   systemd           22   0 02000000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service/cgroup.procs
1516   systemd           22   0 02204000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service
1516   systemd           22   0 02000000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service/cgroup.procs
1516   systemd           22   0 02000000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service/cgroup.threads
1516   systemd           22   0 02204000 /sys/fs/cgroup/unified/user.slice/user-1000.slice/user@1000.service/tracker-store.service
